year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2022,86,Jon,Adam Thielen,7,Jon,6,WR,122.3,20.383333333333333
2022,87,Jack,Allen Lazard,9,Mario,6,WR,125.2,20.866666666666667
2022,88,Nate,Rhamondre Stevenson,10,Nate,6,RB,202.9,33.81666666666667
2022,89,Bill,Darrell Henderson,6,Jack,6,RB,64.5,10.75
2022,90,Bill,Kareem Hunt,1,Bill,6,RB,107,17.833333333333332
2022,91,Grossman,Michael Thomas,5,Eric + Mark,6,WR,40.1,6.683333333333334
2022,92,Jon,Melvin Gordon,8,Justin,6,RB,74.1,12.35
2022,93,Jon,Miles Sanders,5,Eric + Mark,5,RB,224.9,44.980000000000004
2022,94,Grossman,JuJu Smith-Schuster,2,Brian,5,WR,129.3,25.860000000000003
2022,95,Justin,Christian Kirk,2,Brian,5,WR,169.5,33.9
2022,96,Brian,Daniel Jones,10,Nate,5,QB,320,64
2022,97,Bryan,Chase Edmonds,6,Jack,5,RB,59.2,11.84
2022,98,Bill,Hunter Renfrow,9,Mario,5,WR,37.7,7.540000000000001
2022,99,Brian,Alexander Mattison,2,Brian,5,RB,62.4,12.48
2022,100,Jon,Cordarrelle Patterson,5,Eric + Mark,4,RB,141.8,35.45
2022,101,Daniel,Amari Cooper,6,Jack,4,WR,198.4,49.6
2022,102,Jon,Clyde Edwards-Helaire,7,Jon,3,RB,91.3,30.433333333333334
2022,103,Jack,Mac Jones,6,Jack,3,QB,162.86,54.28666666666667
2022,104,Nate,Brandon Aiyuk,10,Nate,3,WR,164.4,54.800000000000004
2022,105,Brian,Ryan Tannehill,8,Justin,2,QB,167.24,83.62
2022,106,Mario,Dawson Knox,6,Jack,2,TE,89.9,44.95
2022,107,Daniel,Denver Broncos,6,Jack,2,DEF,57,28.5
2022,108,Justin,DeVonta Smith,3,Bryan,2,WR,186.4,93.2
2022,109,Grossman,Elijah Moore,2,Brian,2,WR,61,30.5
2022,110,Justin,Michael Gallup,4,Daniel,2,WR,75.4,37.7
2022,111,Nate,Devin Singletary,9,Mario,2,RB,166,83
2022,112,Grossman,Chris Olave,6,Jack,2,WR,143.7,71.85
2022,113,Bill,Baker Mayfield,1,Bill,2,QB,116.94,58.47
2022,114,Jack,Kenneth Walker,4,Daniel,2,RB,191.6,95.8
2022,115,Bill,Marquez Valdes-Scantling,9,Mario,2,WR,93.7,46.85
2022,116,Jon,Chase Claypool,7,Jon,2,WR,68.14,34.07
2022,117,Jack,Raheem Mostert,6,Jack,2,RB,157.7,78.85
2022,118,Nate,Cole Kmet,4,Daniel,2,TE,94.6,47.3
2022,119,Jon,Dallas Cowboys,7,Jon,2,,71,35.5
2022,120,Justin,Buffalo Bills,8,Justin,1,DEF,73.5,73.5
2022,121,Grossman,Los Angeles Rams,5,Eric + Mark,1,DEF,43.5,43.5
2022,122,Bill,Jared Goff,1,Bill,1,QB,284.36,284.36
