year,player_id,player_name,LOOKUP Column,position,nfl_team,weeks_played,total_fantasy_points,avg_points_per_game
2020,3488,D.J. Foster,2020D.J. Foster,RB,,10,1.4,0.14
2020,6298,Chandler Cox,2020Chandler Cox,FB,,15,1.4,0.09
2020,2114,Senorise Perry,2020Senorise Perry,RB,,9,1.4,0.16
2020,5565,Jason Cabinda,2020Jason Cabinda,FB,,16,1.3,0.08
2020,5134,Keith Kirkwood,2020Keith Kirkwood,WR,BAL,1,1.3,1.3
2020,1603,Luke Willson,2020Luke Willson,TE,,11,1.2,0.11
2020,1373,Geno Smith,2020Geno Smith,QB,LV,16,1.12,0.07
2020,6936,Joseph Charlton,2020Joseph Charlton,P,,16,1.12,0.07
2020,1048,Lamar Miller,2020Lamar Miller,RB,,4,1.1,0.28
2020,112,Andy Lee,2020Andy Lee,P,,16,1.04,0.07
2020,DAL,Dallas Cowboys,2020Dallas Cowboys,DEF,DAL,16,1,0.06
2020,1222,Bobby Massie,2020Bobby Massie,T,,7,0.9,0.13
2020,5908,Amani Hooker,2020Amani Hooker,DB,TEN,16,0.9,0.06
2020,7115,Charlie Heck,2020Charlie Heck,T,TB,16,0.8,0.05
2020,1895,AJ McCarron,2020AJ McCarron,QB,,16,0.8,0.05
2020,6002,Qadree Ollison,2020Qadree Ollison,RB,,16,0.8,0.05
2020,6153,Dexter Williams,2020Dexter Williams,RB,,3,0.8,0.27
2020,1612,Tyler Bray,2020Tyler Bray,QB,,4,0.72,0.18
2020,6150,Max Scharping,2020Max Scharping,OL,PIT,15,0.7,0.05
2020,982,Bruce Miller,2020Bruce Miller,FB,,8,0.7,0.09
2020,6659,Craig Reynolds,2020Craig Reynolds,RB,DET,2,0.7,0.35
2020,6293,Cullen Gillaspia,2020Cullen Gillaspia,RB,,11,0.6,0.05
2020,1700,Jeff Heath,2020Jeff Heath,DB,,13,0.6,0.05
2020,6231,John Lovett,2020John Lovett,QB,,8,0.6,0.07
2020,4221,Jeremy Sprinkle,2020Jeremy Sprinkle,TE,,16,0.6,0.04
2020,13,Sam Koch,2020Sam Koch,P,,15,0.6,0.04
2020,6279,Brandon Dillon,2020Brandon Dillon,TE,,3,0.6,0.2
2020,7307,Tommy Townsend,2020Tommy Townsend,P,HOU,16,0.52,0.03
2020,5930,Jaquan Johnson,2020Jaquan Johnson,DB,,16,0.52,0.03
2020,6181,Trevon Wesco,2020Trevon Wesco,TE,,12,0.5,0.04
2020,4151,Jake Butt,2020Jake Butt,TE,,8,0.5,0.06
2020,1567,Tavon Austin,2020Tavon Austin,WR,,5,0.5,0.1
2020,6598,Trenton Irwin,2020Trenton Irwin,WR,NYJ,1,0.5,0.5
2020,6585,Tony Brooks-James,2020Tony Brooks-James,RB,,1,0.4,0.4
2020,3240,Darian Thompson,2020Darian Thompson,DB,DAL,15,0.3,0.02
2020,4330,JoJo Natson,2020JoJo Natson,WR,,3,0.3,0.1
2020,6724,C.J. Moore,2020C.J. Moore,DB,DET,16,0.3,0.02
2020,5957,Isaac Nauta,2020Isaac Nauta,TE,GB,7,0.3,0.04
2020,7226,Myles Hartsfield,2020Myles Hartsfield,DB,,16,0.2,0.01
2020,5233,Marcus Baugh,2020Marcus Baugh,TE,,10,0.2,0.02
2020,627,Andre Roberts,2020Andre Roberts,WR,,16,0.1,0.01
2020,1722,Mike Remmers,2020Mike Remmers,T,,16,0,0
2020,1860,Brent Qvale,2020Brent Qvale,OT,,15,0,0
2020,2062,Anthony Hitchens,2020Anthony Hitchens,LB,KC,14,0,0
2020,2368,Frank Clark,2020Frank Clark,DE,,16,0,0
2020,2432,Damien Wilson,2020Damien Wilson,LB,,16,0,0
2020,3194,Vernon Hargreaves,2020Vernon Hargreaves,DB,,16,0,0
2020,3558,Chris Jones,2020Chris Jones,DT,KC,16,0,0
2020,4114,Tanoh Kpassagnon,2020Tanoh Kpassagnon,DE,IND,16,0,0
2020,4181,Tedric Thompson,2020Tedric Thompson,DB,CLE,15,0,0
2020,4531,Ricky Seals-Jones,2020Ricky Seals-Jones,TE,,15,0,0
2020,5325,Peter Kalambayi,2020Peter Kalambayi,LB,GB,16,0,0
2020,6292,Nick Allegretti,2020Nick Allegretti,G,WAS,16,0,0
2020,6795,Ross Blacklock,2020Ross Blacklock,DT,,16,0,0
